ms_since_boot,temp_C,press_Pa
689091,25.81,1414.70
689903,25.81,1414.67
690714,25.87,1414.65
691526,25.81,1414.65
692338,25.81,1414.64
693149,25.87,1414.64
693961,25.81,1414.60
694773,25.81,1414.66
695584,25.81,1414.64
696396,25.81,1414.63
697208,25.81,1414.63
698019,25.81,1414.59
698831,25.81,1414.65
699643,25.81,1414.64
700454,25.81,1414.60
701266,25.81,1414.64
702078,25.81,1414.64
702889,25.81,1414.60
703701,25.81,1414.59
704513,25.81,1131.48
705324,25.69,1012.89
706136,25.56,1035.99
706951,25.50,1050.98
707763,25.50,1063.07
708575,25.50,1073.31
709386,25.50,1082.05
710198,25.50,1089.17
711009,25.50,1095.19
711821,25.50,1100.40
712632,25.44,1104.64
713444,25.44,1108.09
714256,25.44,1110.85
715067,25.44,1113.00
715879,25.44,1114.69
716690,25.44,1116.05
717502,25.37,1117.13
718314,25.37,1118.27
719125,25.37,1118.98
719937,25.37,1119.59
720749,25.31,1120.07
721560,25.31,1120.50
722372,25.37,1120.77
723184,25.31,1121.04
723995,25.31,1121.26
724807,25.31,1121.47
725622,25.31,1121.66
726434,25.31,1121.72
727245,25.31,1121.86
728057,25.25,1121.95
728869,25.25,1122.03
729680,25.25,1122.07
730492,25.25,1122.11
731304,25.25,1122.13
732115,25.25,1122.22
732927,25.25,1122.25
733739,25.25,1122.27
734550,25.25,1122.35
735362,25.19,1122.35
736174,25.25,1122.33
736985,25.25,1122.34
737797,25.25,1122.38
738609,25.19,1122.38
739420,25.19,1122.34
740232,25.19,1122.44
741044,25.19,1122.43
741855,25.19,1122.38
742667,25.19,1122.45
743479,25.19,1122.42
744294,25.19,1122.47
745105,25.19,1122.43
745917,25.19,1122.48
746729,25.19,1122.46
747540,25.19,1122.48
748352,25.19,1122.47
749163,25.19,1122.51
749975,25.19,1122.49
750787,25.19,1122.47
751598,25.19,1122.49
752410,25.19,1122.50
753221,25.19,1122.53
754033,25.19,1122.48
754844,25.19,1122.50
755656,25.19,1122.51
756468,25.19,1122.48
757279,25.19,1122.53
758091,25.19,1122.53
758902,25.19,1122.49
759714,25.19,1122.53
760526,25.19,1122.48
761337,25.19,1122.52
762149,25.19,1122.50
762960,25.19,1122.52
763776,25.19,1122.51
764586,25.19,1122.51
765396,25.19,1122.51
766207,25.19,1122.49
767017,25.19,1122.47
767828,25.19,1122.52
768638,25.19,1122.55
769449,25.19,1122.52
770259,25.19,1122.50
771070,25.19,1122.50
771880,25.19,1122.53
772691,25.19,1122.51
773501,25.19,1122.49
774312,25.19,1122.52
775122,25.19,1122.47
775933,25.19,1122.51
776743,25.19,1122.47
777554,25.19,1122.49
778364,25.19,1122.47
779175,25.19,1122.49
779985,25.19,1122.49
780796,25.19,1122.46
781606,25.19,1122.49
782420,25.19,1122.46
783230,25.19,1122.49
784041,25.19,1122.48
784851,25.19,1122.47
785662,25.19,1122.51
786473,25.19,1122.46
787283,25.19,1122.47
788094,25.19,1122.46
788904,25.19,1122.47
789715,25.19,1122.47
790525,25.19,1122.45
791336,25.19,1122.46
792147,25.19,1122.47
792957,25.19,1122.48
793768,25.19,1122.44
794578,25.19,1122.49
795389,25.19,1122.46
796200,25.19,1122.47
797010,25.19,1122.43
797821,25.19,1122.44
798631,25.19,1122.43
799442,25.19,1122.43
800252,25.19,1122.45
801066,25.19,1122.40
801877,25.19,1122.44
802687,25.19,1122.43
803498,25.19,1122.44
804308,25.19,1122.45
805119,25.19,1122.45
805930,25.19,1122.45
806740,25.19,1122.46
807551,25.19,1122.44
808361,25.19,1122.42
809172,25.19,1122.39
809983,25.19,1122.39
810793,25.19,1122.40
811604,25.19,1122.34
812414,25.19,1122.38
813225,25.19,1122.39
814036,25.19,1122.40
814846,25.19,1122.40
815657,25.19,1122.39
816467,25.19,1122.39
817278,25.19,1122.34
818089,25.19,1122.37
818899,25.19,1122.40
819710,25.19,1122.39
820518,25.19,1122.36
821329,25.19,1122.37
822139,25.19,1122.33
822950,25.19,1122.38
823760,25.19,1122.34
824571,25.19,1122.36
825382,25.19,1122.38
826192,25.19,1122.33
827003,25.19,1122.38
827813,25.19,1122.34
828624,25.19,1122.34
829435,25.19,1122.29
830245,25.19,1122.35
831056,25.19,1122.32
831866,25.19,1122.33
832677,25.19,1122.34
833488,25.19,1122.31
834298,25.19,1122.33
835109,25.19,1122.34
835919,25.19,1122.30
836730,25.19,1122.38
837541,25.19,1122.31
838351,25.19,1122.29
839165,25.19,1122.31
839975,25.19,1122.28
840786,25.19,1122.34
841596,25.19,1122.29
842407,25.19,1122.29
843218,25.19,1122.25
844028,25.19,1122.28
844839,25.19,1122.27
845649,25.19,1122.27
846460,25.19,1122.29
847271,25.19,1122.24
848081,25.19,1122.23
848892,25.19,1122.26
849702,25.19,1122.27
850513,25.19,1122.24
851324,25.19,1122.22
852134,25.19,1122.29
852945,25.19,1122.26
853755,25.19,1122.22
854566,25.19,1122.25
855377,25.19,1122.26
856187,25.19,1122.25
856998,25.19,1122.23
857811,25.19,1122.21
858622,25.19,1122.27
859433,25.19,1122.22
860243,25.19,1122.23
861054,25.19,1122.21
861865,25.19,1122.20
862675,25.19,1122.24
863486,25.19,1122.24
864296,25.19,1122.19
865107,25.19,1122.20
865917,25.19,1122.21
866728,25.25,1122.20
867538,25.19,1122.17
