ms_since_boot,temp_C,press_Pa # long run op 4 sept
4262177,24.25,1088.87
4262987,24.19,1108.85
4263798,24.19,1124.95
4264608,24.19,1137.83
4265419,24.19,1148.09
4266229,24.19,1156.02
4267040,24.19,1162.18
4267851,24.19,1167.07
4268661,24.19,1170.87
4269472,24.19,1173.96
4270282,24.19,1176.26
4271093,24.19,1178.20
4271903,24.12,1179.56
4272714,24.12,1180.68
4273524,24.12,1181.48
4274335,24.12,1182.24
4275145,24.06,1182.80
4275956,24.06,1183.39
4276769,24.06,1183.76
4277580,24.06,1184.14
4278390,24.06,1184.42
4279201,24.06,1184.64
4280011,24.00,1184.83
4280822,24.00,1184.98
4281632,24.00,1185.15
4282443,24.00,1185.23
4283254,24.00,1185.38
4284064,24.00,1185.51
4284875,24.00,1185.59
4285685,24.00,1185.66
4286496,24.00,1185.66
4287307,24.00,1185.70
4288117,24.00,1185.75
4288928,23.94,1185.74
4289738,23.94,1185.81
4290549,23.94,1185.81
4291360,23.94,1185.85
4292170,23.94,1185.83
4292981,23.94,1185.88
4293791,23.94,1185.90
4294605,23.94,1185.90
4295415,23.94,1185.92
4296226,23.94,1185.96
4297037,23.94,1185.98
4297847,23.94,1185.94
4298658,23.94,1185.98
4299468,23.94,1185.96
4300279,23.94,1185.98
4301089,23.94,1185.99
4301900,23.94,1186.03
4302710,23.94,1186.06
4303521,23.94,1186.01
4304331,23.94,1186.06
4305142,23.94,1186.06
4305952,23.94,1186.03
4306763,23.94,1186.09
4307573,23.94,1186.05
4308384,23.94,1186.08
4309194,23.94,1186.06
4310005,23.94,1186.08
4310815,23.94,1186.12
4311626,23.94,1186.12
4312436,23.94,1186.10
4313250,23.94,1186.10
4314061,23.94,1186.11
4314871,23.94,1186.17
4315682,23.94,1186.15
4316492,23.94,1186.15
4317303,23.94,1186.14
4318113,23.94,1186.18
4318924,23.94,1186.19
4319734,23.94,1186.18
4320545,23.94,1186.12
4321355,23.94,1186.17
4322166,23.94,1186.18
4322976,23.94,1186.20
4323787,23.94,1186.23
4324598,23.94,1186.17
4325408,24.00,1186.22
4326219,23.94,1186.21
4327029,23.94,1186.24
4327840,24.00,1186.20
4328650,24.00,1186.23
4329461,24.00,1186.20
4330272,24.00,1186.22
4331085,24.00,1186.26
4331896,24.00,1186.25
4332706,24.00,1186.22
4333517,24.00,1186.27
4334327,24.00,1186.28
4335138,24.00,1186.27
4335948,24.00,1186.25
4336759,24.00,1186.27
4337570,24.00,1186.27
4338380,24.00,1186.31
4339191,24.00,1186.31
4340001,24.00,1186.33
4340812,24.00,1186.24
4341623,24.00,1186.31
4342433,24.00,1186.32
4343244,24.00,1186.34
4344054,24.00,1186.34
4344865,24.00,1186.35
4345676,24.00,1186.33
4346486,24.00,1186.31
4347297,24.00,1186.32
4348107,24.00,1186.31
4348921,24.06,1186.36
4349732,24.00,1186.39
4350542,24.06,1186.36
4351353,24.06,1186.40
4352163,24.06,1186.38
4352974,24.06,1186.39
4353785,24.00,1186.38
4354595,24.06,1186.44
4355406,24.06,1186.41
4356216,24.06,1186.41
4357027,24.06,1186.39
4357838,24.06,1186.41
4358648,24.06,1186.43
4359459,24.06,1186.42
4360269,24.06,1186.40
4361080,24.06,1186.42
4361891,24.06,1186.42
4362701,24.06,1186.42
4363512,24.06,1186.45
4364322,24.06,1186.43
4365133,24.06,1186.46
4365944,24.06,1186.46
4366757,24.06,1186.43
4367568,24.12,1186.41
4368378,24.06,1186.47
4369189,24.06,1186.41
4369999,24.06,1186.45
4370810,24.12,1186.48
4371620,24.12,1186.48
4372431,24.12,1186.49
4373241,24.12,1186.48
4374052,24.12,1186.47
4374862,24.06,1186.49
4375673,24.06,1186.47
4376483,24.12,1186.50
4377294,24.12,1186.49
4378104,24.12,1186.49
4378915,24.12,1186.52
4379725,24.12,1186.50
4380536,24.12,1186.53
4381346,24.12,1186.49
4382157,24.12,1186.51
4382967,24.12,1186.54
4383778,24.12,1186.49
4384588,24.12,1186.55
4385402,24.12,1186.55
4386213,24.12,1186.55
4387023,24.12,1186.56
4387834,24.12,1186.54
4388645,24.12,1186.51
4389456,24.12,1186.54
4390267,24.19,1186.61
4391077,24.12,1186.57
4391888,24.19,1186.57
4392699,24.12,1186.59
4393510,24.19,1186.59
4394321,24.19,1186.58
4395132,24.19,1186.58
4395942,24.19,1186.58
4396753,24.19,1186.59
4397564,24.19,1186.57
4398374,24.19,1186.60
4399185,24.19,1186.61
4399996,24.19,1186.63
4400807,24.19,1186.61
4401617,24.19,1186.60
4402428,24.19,1186.62
4403242,24.19,1186.64
4404052,24.19,1186.62
4404863,24.19,1186.63
4405674,24.19,1186.64
4406485,24.19,1186.63
4407295,24.19,1186.60
4408106,24.19,1186.66
4408917,24.19,1186.64
4409728,24.19,1186.66
4410538,24.19,1186.63
4411349,24.19,1186.68
4412160,24.25,1186.66
4412971,24.19,1186.64
4413782,24.19,1186.66
4414593,24.25,1186.67
4415403,24.25,1186.67
4416214,24.25,1186.68
4417025,24.25,1186.67
4417836,24.25,1186.70
4418647,24.25,1186.70
4419458,24.25,1186.67
4420269,24.25,1186.70
4421083,24.25,1186.74
4421893,24.25,1186.68
4422704,24.25,1186.72
4423515,24.25,1186.71
4424326,24.25,1186.72
4425136,24.25,1186.70
4425947,24.25,1186.69
4426758,24.25,1186.71
4427569,24.25,1186.70
4428380,24.25,1186.73
4429190,24.25,1186.73
4430001,24.25,1186.73
4430812,24.25,1186.74
4431623,24.25,1186.73
4432434,24.25,1186.72
4433244,24.25,1186.74
4434055,24.25,1186.74
4434866,24.25,1186.78
4435677,24.25,1186.73
4436488,24.31,1186.74
